L1,Proficiency,Text,level
English,Lower beginner,"Tyra Banks es muy bonita. Ella es alta. Ella es muy simpatico. Ella es un cantanté tambien. Ella tiene pello rojo. Tyra es muy activo. Ella tiene muchos amigos. Ella es intelligenté.Ella es de Los Angeles, California. Ella vive en California.",A1
English,Lower beginner,UNA PELÍCULA SOBRE UN BEBÉ ENCONTRADO Y BUSCANDO AMOR.EL BEBÉ APARECE DEL CIELO Y EL HOMBRE NO LO QUIERE.LA MUJER NO QUIERE EL BEBÉ.LA COP CHASE EL HOMBRE. EL HOMBRE ENCUENTRA UNA NOTA EN EL BOLSILLO PARA QUE EL BEBÉ SE AMA Y CUIDADO Y EL TOMA EN EL BEBÉ.EL HOMBRE ES SIMPÁTICO PARA EL BEBÉ QUE NADIE QUIERE CUIDAR. La carta le hace sentirse triste y él mantendrá al bebé.Me gustó la película fue corta y al punto,A1
Japanese,Lower beginner,"Un día, Cuando Chaplin caminaba por la ciudad que encontró a un bebé en la carretera. No pudo encontrar a los padres del bebé. Chaplin estaba perplejo. Entréguesela a los residentes de otras ciudades o póngala en la carretera ... Pero el bebé definitivamente regresará a Chaplin. Chaplin está perdido y se sentó en la carretera. Entonces, encontró la carta en la tela que envolvía al bebé.  <br/> Chaplin creía que tirar esta bebé Sin embargo  <br/> Decía: ""Por favor críe a esta niña encantadora"".   <br/> Decidió criar al bebé",A1
English,Lower beginner,"Me llamo es Shevon. Me planes para el futuro es de tiene mi casa en Atlanta, Georgia. Yo tengo un grande familia, y tengo el profession en accountica.",A1
English,Lower beginner,"Mi llamo Tamara y mi familia es Americano. mi mama, papa, y la nina Brittney turista durante las vacaciones y el pascina en la Florida. Mi preferido vacaciones en  <br/>  Mi familia nadar durante las vacaciones.  <br/>  Vacaciones en las Florida.",A1
Portuguese,Lower beginner,resumo do video do charlie chaplin  acolheu um niño pequeno ahahahahhahahabahahahanajajahahhahahahahahahahahahahahahahahahahahahhahahababababababababababababababababababbabababsbababababababahahababahahahahahhahahahahahahahahahahahahhahahahahahhahahahajajjahahahahahahahahahhahahahajajajhajajajahjajajajjajsjsjjajajajajsjwhjajajsjsjsnsjjsnajsjsjsjsjsjsjsnnsjsjsnsjnshajsjsjsjsjjsjsjsjsVbbbbvvggikendjkdk,A1
Japanese,Lower beginner,"Un chico encontró un rana y la lleva a su casa. Pero,durante el sueño , la rana huye. Cuándo se despierta, se da cuenta de que escapó a rana. Va al bosque con su perro y busca con todas sus fuerzas .se también subió el árbol, además se subió de en las rocas. Pero, desafortunadamente,se encuentra con un ciervo salvaje .Cateó el chico y el chico llega a estanque . Afortunadamente la rana viva ahí con su familia! El chicos Vuelve a casa con ella .",A1
Russian,Lower beginner,"un hombre (Chaplin) caminaba en un sitio de construcción. encontrado en el camino un niño. trató de deshacerse de él de muchas maneras. se lo dio a una mujer, a otro hombre. Entonces solo quería ponerlo donde lo encontré. Cuando Chaplin se sentó con el niño, encontró una nota suya, después de leer, se enamoró de este niño y se la guardó. la historia es bella y antigua. me gustó.  Se puede ver de nuevo.",A1
English,Lower beginner,"Presidente George W. Bush es persona famosa. El es de Texas y tiene un ranch. Presidente para ocho anós y vivo Washington, D.C. con esposa Laura. El para sobre mundo y habla mucho persona. El final anós es Presidente y el padre fue Presidente. El hecho mucho para el pais las personas pueden pensar diferente. El hizo mucho cuando el governor para Texas. El dos hijas ella gemelos y ella en anós viente y vaya a colegio. El es Republican Presidente y before el es Democrat presidente. El parece viejo y el a chistoso tipo. El mucho intellgente persona piense el estúpido el no. El estuvo en war y nosotros en war que",A1
English,Lower beginner,"Me llamo Brandis. Soy de norteamericana. Vivo en Georgia. Atlanta es la capital de Georgia. El clima es simpatico. Los veranos son muy caliente y las primaveras son calurosa. Los otonos son calurosa, pero los inviernos son muy frio. Georgia tiene montanas en el norte. La universidad de Georgia State es en Atlanta.",A1
English,Lower beginner,¡Hola¡ <br/>   Me llamo Brittney. Me topica es habla de una persona famosa. Ella es Cameron Díaz. Ella es una bonita. Ella es muy alta. Ella es muy extrovertida tambien.,A1
English,Lower beginner,"Hola. Me llamo Jordito. Voy a escribir sobre la reigon vivo. En el verano esta muy calor y es hay sol. Me gusta ir nado. A mi tambien me gusta jugar al golf y jugar al beisbol. Nuestro equipo esta muy bien. Ganamos 95 percento a mis partidos. En el vierno, esta muy frio. A tambien, esta nieva y lleuve. Me gusta patinar sobre helio, es muy divertido a mi. En el verano, me gusta comer el flan, y carne esta delicioso, es mi favorito. Me gusta comer mucho. El vierne es mi favorito porque hay esta nieva. Me gusta jugar en la nieva. Me gusta voy al surfing, y hay es no escuela en el verano. Me gusta el verano porque hay es mucho tiempo de me.",A1
English,Lower beginner,Quiero estar un director de película bueno. Son mi tradajo soñar. Me gusta mucho películas de horror y comedia. Tengo mas películas de DVD. Yo estudio película en la universidad de Georgia State.,A1
English,Lower beginner,El hombre estaba caminando solo paro toma un cigarrilo y encontró un bebe en un rincón vacío. Hombre sala so bebe y no no sabe a donde ir.  Bebe fue abandonar. Trata de darle al bebe a extranos. El hombre no le gusta el bebe en primero. la polica vio al tipo tretar de dejar al bebe. el hombre trata de darle al bebé a otra madre. madre se enoja. la madre del bebé dejó a su niño para ser amado y cuidado,A1
English,Lower beginner,En el futuro yo plan to graduate de Penn State Universidad y trabajan. Yo plan trabajo on computadoras. Me gusta trabajar las computadoras. Yo tengo muy grande familia. Yo plan vivo en Pennsylvania. Yo desear vivo en muy grande casa y tengo a pickup truck. Yo plan tengo uno dog.,A1
English,Lower beginner,"Me llamo Dylan. Vivo en los Estados Unidos. Mas specificamente, vivo en Zionsville, Indiana. Tengo dos perros y tres gatos. Mi madre es muy bonita y alto. Se llama Monique. Monique es muy inteligente, y todos los dias ayuda con mi tarea. Me encanto mi mama. Tambien, mi padre es muy interesante. El es famoso en Indiana. Esta en la tele porque el es un hablador de los deportes. El es muy inteligente tambien es muy comico. El es muy divertido. Me encanto mi papa. Mi primero hermana es en el colegio. Ella es muy inteligente y interesante, Tiene clases de espanol en su colegio. Ella encanta espanol y quiere hablar espanol por todo su vida. Me encanto mi primero hermana. Mi segundo hermana tambien es muy divertido y interesante. Ella encanta musica la roc y saca la basura por mi desues del cine todos los noches. Me encanta mi segundo hermana porque ella es mas interesante que mis otras hermanos. En total, tengo nueve hermanos. Mi tres hermana es muy bonita pero es muy bajo. Ella encanta el bano y tiene dos caras. Tengo un cara, pero no es tan gran como los dos caras de mi hermana tres. Mi hermano cuatro no es inteligente pero es muy bien en los deportes. Ella es muy bien a atletismo, basquetbol, futbol, futbol norte americano, tenis, etc. En generalmente, ella es muy bien a todos los deportes. Mi encanta mi hermana cuatro porque ella es muy bueno en todos los deportes. Mi cinco hermana es bien al beisbol, y encanta jugar al beisbol. Ella es muy bien en el escuela, pero ella no habla en espanol. Ella habla en francais, y quiero hablar en francais en el futuro. Me encanto mi hermana cinco. Mi primero hermano es un jugador de futbol norte americano. El encanta futbol norte americano y tiene pelo negro. Me encanto mi primero hermano porque el esta muy comico, interesante, divertido, todas las dias el limpia la cocina por mi. Mi segundo hermana es un jugador de basquetbol. El es una hero de mi. El es en los professionales. El es muy bueno a basquetbol, y este semana su pelo es rosado. El es loco verdad? Me encanta mi segundo hermano porque el es muy simpatico y es un buen jugador de baloncesto. Mi tres hermano es un jugador del tenis y es muy bueno. El practica tenis por seis horas todos los dias. Seis horas!! Mi tres hermano es comico, intersante, tiene muy chistes y es muy simpatico. Finalmente, mi. Soy un jugador del atletismo. Yo corro de dos a tres horas largas solo en dia. Dos a tres! Soy muy comico, muy modesto, muy inteligente, muy simpatico, muy interesante, muy alto, y no gordo. Finalmente, el tiempo. El tiempo en mi region de los Estados Unidos es muy buena. El tiempo en el invierno no esta muy frio, y en el verano no esta muy calor. Me encanta el tiempo en este region. Este region se llama el ""midwest."" El ""midwest"" es de Indiana, Michigan, Illinois, Ohio, Wisconsin, Minnesota, y Kentucky.",A1
English,Lower beginner,"Yo tengo hablar de Gwen Stefani. Gwen Stafani es una performa muisca. Ella es muy bonita y intilligete. Su musica es bella y divertida. Es con Gavin Rosdalle. Ella es una madre nueve. Su hermano nombre es Kingston. Ella es solo performo ahora pero was en el groupo musico No Doubt. Tienen mucho music popular.  <br/>  Gwen Stefani teine ropa nombre ""L.A.M.B."" ""L.A.M.B."" es buena pero muy cara. Celbritos gusta L.A.M.B. inludar Nicky Hilton, Pamela Anderson, Carmen Electra, Nicole Richie, Jenny McCarthy, Alicia Keys y Halle Berry. Gwen Stefani donde de Orange County, California. A las diecisiete escribe unas cansonas. Ella amore Tony, No Doubts bassist musica. No existen y ella escribe ""Don't Speak"".  <br/>  Gwen Stefani teine treinta y seite anos. Su cumpleanos es 3 de octubre. Su favorita musicas son 311, sublime, Blur, Radiohead, Madness, U2 y Jamiroquai. Su pelo rubio. Su pelo natural es marron. Ella teine una Grammy Award en 2002. Nominatio seies Grammy's. colobarto con Neptunes y Andre 3000.",A1
English,Lower beginner,"Julia Roberts es una persona famosa. Tien polo rojoa. Julia es un actresse. Tabajado es ""Pretty Woman"". Elle es bonita y grande.",A1
English,Lower beginner,"Me llamo Renata. Yo soy de Nuevo York. Nuevo York es grande. En Nuevo York, es muchas casas. Las casas son mucho, mucho pequito. Yo habité en el apartment. En Nuevo York, es montañas, tambien. Nuevo York es calíente y frío. En Nuevo York, es cinqo boroughs: Brooklyn, Queens, Manhattan, Bronx, y Staten Island. Yo soy de Brooklyn. En Brooklyn, es mucho estufo. Los estufos es mucho pequito, tambien. Mí padre habito en Staten Island. Ello habito en una grande casa con mí familia. En Nuevo York, es muchos comidos. En Nuevo York, es los comídos de Puerto Rico, los comídos de Mexico, los comídos de Carribean, y los comidos de Americane.",A1
English,Lower beginner,senor Denzel Washington es mi favorito persono farmoso. El senor washington es muy fascinito. mi y el senor Washington campulanos es la cuarto dia octobre.,A1
Japanese,Lower beginner,"Chaplin es antipatico. <br/>  <br/> No no está grapo. <br/>  <br/> pero,Chaplin es amabre. <br/>  <br/> Veo a niño.Niño es grapo.Niño esta preocpado. <br/>  <br/> Hay un niño es nadie en parque. <br/>  <br/> Chaplin esta salir de casa. pero, La policica  esta  vino. <br/>  <br/> Vino a casa con nino. <br/>  <br/> Chaplin es mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm <br/>  <br/> mmmmmmmmmmmmmmmmmmmmmmm",A1
English,Lower beginner,Mi planes para el futuro son completa univesidad tambien hablamos. Yo no se. Lo siento. Mi Spanish es mal. Mucho mal!,A1
English,Lower beginner,!Hola! <br/>  ?como te llamas? <br/>  Estoy muy bien. <br/>  Durante las vacacions yo visito mi hermano en Maryland.  <br/>  Paseo mucho tiemp con mis amigos. Me gusta el verano much porque es muy divertido. y porque no la escuela durante de el verano. Yo duerme much. mi amigo compra un coche. Fui ir comprar a la tienda de musica. Me gusta musica much. Me gustan los tacos. Quiero taco bell. !Taco Bell es una resturante y muy rico! te gustan tacos? Me gusta cantar y bailar mucho.,A1
English,Lower beginner,"Yo vivo en Lafayette, Indiana. Mi casa es enorme. Hay muchos personas en mi familia. Yo tengo una madre, una hermana, un padre. Yo tengo una padastro, pero no nos llevamos bien. Mi padre tenga una novia, y yo me gusta mi novia de mi padre. Ella es muy simpatica y comica. Ella tenga dos hijos. Ellos son muy comicos y hablan mucho. Yo juego el tenis y el golf. Mi escuela es la escuela de privado y catolica. Mi escuela tenga el nombre de Central Catholic.",A1
English,Lower beginner,"Mi nombre es Janel. Mi favrita actura es Angelina Jolie. Angelina es bonita, inteligente, paciente, graciosa, atletica. Mi color favrito es Negro. Angelina es muy bonita in el color negro. Estoy del mal humor porque Brad Pitt, el esposa de Angelina no te quiero ella. Angelina tenga tres nino's. Maddox, y Zahaara, pero yo no sabe el nombre de el joven.",A1
English,Lower beginner,"Yo vivo en la parte del sur de los Estados Unidos. Vivo en Atlanta, Georgia. Quiero vivir en la ciudad. Está siempre ocupado. El tiempo es también bueno. Tenemos las cuatro temporadas. En el verano que lo está realmente caliente y en el invierno que lo es realmente frío. Las personas en el sur son personas buenas también. La mayoría de las personas están dispuestas a ayudarle. La ciudad de Atlanta tiene muchas a personas. En Atlanta hay el tráfico también realmente malo. Todos trabajan en la ciudad. Quiero el sur porque es cercano a muchas playas. El sur es la mejor región de vivir en.",A1
English,Lower beginner,Hablé para Tyra Banks. Ella a modela de super. Ella es muy importante. Ama a chicas. Ella comer los papes fritas muchas. Ella amo comer. Tenies cataño pelo. Tenies gato. Tiene llamo es Frank. Es muy bonita. Es a gato azul. ¡Qué divertido! Tambien ella es muy bonita. Soy de Alabama. Ella es a pequeño chica. Ella es muy bonita. Ella dio regalos a jovenes para Chirstams. Ella fue las casa muchos con regalos. Ella fue en el aeropuerto rara vez. Ella fue en al autobus. Tiene a chico. El llamo es Mark. El es muy divertido. Tambien el es muy guapo. Tiene la casa en Puerto Rico. EL es muy grande y muy bonito. Es casa blanco con azul ventanillo. Le gusta acampar en la montañas. Tambien le gusta bajar en la rio en canoa. No le gusta en le casa.,A1
English,Lower beginner,Yo viven ese Pennsylvania. Me viven en Pennsylvania cuartienne y ocho anos. Yo vivo en my casa con esposa y tres English setter perros. Me madre y papa y hermano viven in casa cerca me casa. Es familoso farm. Nuestros familia viven un farm since una thousand nuevciente ochoeinte dos. Es passed e donde padre tu hijo for seis generations. Nosotros no farm the land since me padre joven. Yo trabajo around en casa y garaje con me hermano tu keep the farm hacen mucho bueno. Me esposo plants flowers around me casa. Es mucho buen en Abril y Mayo cuando flowers bloom.,A1
English,Lower beginner,"Yo soy ir a habla un persona famous. Paris Hilton no come o no come en la cocina. Paris es mucho pequeño, por que ella no come. Paris es en ella telefonó mucho del dia. Ella tiene mucho dinero. Y ella tiene un perro. ¡Ella es mucho estúpido! Paris es mucho estropeado, de su padre, por no madre. <br/>  Paris tiene un mal bebe problemente. Su gustos keg fiestas, con sus amigos. Su favorito bebe es vodka. Su tiene muchos agradable ropas, y sus muchos dinero. Paris Hilton no ir a escuela. Su tiene sus madre y padre mirrar su perro. Y camina la perro de Paris. Y come la pequeño perro de Paris. <br/>  Y amor el perro de Paris. Por Paris tiene muchos amigos, ella gusta mucho. Paris gusta habla en la telefonó con sus amigos. No gusta en la telefonó con su madre o padre. Paris Hilton es mucho self centered. ¡Ella es un grande bebe! Ella es no mi favorito persona en la universidad. Ella es un brat y es delgado. Ella es alto y feo. Paris no sabe a caminar con su perro. ¡Ella tiene rubio! ¡Haste luego!",A1
English,Lower beginner,"Soy de Norteamericano. Yo hablo ingles y mi familia hablan ingles tambien. Yo vivo in Atlanta, Georgia. Esta muy bonito alli. Tiene mucho calor tambien. Yo tengo vacaciones a Florida, South Carolina and Tennessee. Yo trabajo en Griffin a la universidad de Georgia Experiment Station. Alli, yo tengo muchos amigos. Me gusta pescar y nadar con mis amigos. Mi familia nacen en el región. Mi padre nace en McDonough y mi madre nace en Andersonville, South Caroina. Mi madre viva en Griffin toda viva. Yo estudio a la universidad de Georgia State y collegio de Gordon. Me gusta mi clase de español y mi clase de ingles. Mi apartamento es en Buckhead. Yo vivo con mi novio. Nosotros miramos television a aprtamento y leamos el periodico de Atlanta, llama Atlanta Journal Constitution. Atlanta tiene muchos restaurantes buenos. Mi favorita restaurante es restaurante de Houston's. La comida es muy bueno!",A1
English,Lower beginner,Soy soy todo para la ley anti tabacco. Pienso que ningún cuerpo debe ser capaz de fumar. Pienso que cada cigerette que alguien fuma pide apenas malgastSoy todo para la ley anti tabacco. Pienso que ningún cuerpo debe ser capaz de fumar. Pienso que cada cigerette que alguien fuma pide apenas malgastar su vida lejos. ar su vida lejos.Las personas necesitan mirar cuán largo ellos pueden vivir sin el fumar y entonces cuán largo ellos vivirán cuando ellos no fuman. Las personas fuera allí diario obtienen alguna clase del cáncer pPor qué hace cualquiera quiere malgastar sus vidas lejos fumando. La otra cosa buena acerca de la ley anti tabacco sería que bajo niños de edad no sería capaz de empezar a fumar. Que medios que mucho athlets sería capaz de jugar sus deporte mucho mejor ara fumar. Ellos no tendrían beathing de problema ni correr. Conmigo es un futbolista y los niños en nuestro equipo que fuma lo me matan becuse yo sé que nuestro equipo podría ser tanto mejor y tan p! <br/>   oder los jugadores si ellos no fumarían. Miro la vida cotidiana como una gran cosa y entonces yo miro a personas que fuman y ven cómo ellos malgastan su vida lejos. Tendré la salud mucho más mejor entonces ello. Yo también no tendré que pagar por las cuentas médicas que ellos estarán pagando por tambiéns hacenn. El fumar es realmente malo para su salud y es un desecho de la vida. Esta ley es la mejor cosa que ellos podrían hacer jamás a causa de lo que hace a las personas en nuestro país. El fumar hace los dientes gruesos y amarillos. Hace también el pelo y las manos huelen. Los productores deben ni quieren producir las cosas que matan evryday de personas. Eso va a mostrarle que ellos sólo tienen interés en a sí mismo y más tu dinero. Esto es las noticias más grandes que he entrado por tiempo cuando oí que ellos salían con esta ley. Es también malo para el enivornment. Las personas tiran su cigerette pero fuera la ventana y eso es la contaminación. Pone también el humo en el aire.,A1
English,Lower beginner,"Mi futuro planes es voy en muchas viajes por muchas lugares. Quiero ir Madrid Y Barcelona. Pero mi casa nessita mucha trabajar en el jardine y dentro porque es muy nueva. Trabajo in el restaurante Monroes, me gusta trabajado alli. Tengo muchas amigos. Mi marido trabaja en construcciones en Gata Residential. <br/>  Mi familiar viven en Inglaterra, mis padres Y mi hermana, Tengo un hijo se llamo Ross tamien una sabrina. <br/>   <br/>  Muy difcil no mas",A1
English,Lower beginner,"Hola! Me llamo es Ryan. Yo tengo dos hermanos y dos hermanas. Yo tengo ojos azul. Yo soy mucho alto y mucho gaupo. Yo juago muchos deportes. Yo joago es el beisbol, el baloncesto, y el futbal americano. Yo soy un semental. Yo vivo en Lafayette Indiana. Es muy bonita. Para divertirse con los amigos que cuelgan. Mi amigos es muy aburribo. Sólo bromeaba!! Mi familia es pequena. Yo un madre y un padre. Yo tambien dos hermanas. Sus nombres son Katie y Caroline. Yo vivo dos hermanos. Sus nombres son Nicholas and Jimmy. Katie es 17 y Caroline es 6. Nick es 8 y Jimmy es 12. Voy a la escuela en Central Catholic. Tengo mis clases son la literatura, estudios sociales, religión, Inglés, matemáticas, informática, inglés, y la ciencia. Mi favorita es la clase de estudios socials. Mi casa es grande! Mi casa es rojo y blanco. Mi casa es muy bonito.",A1
Arabic,Lower beginner,"Cuando Chaplin estaba caminando, vio a un niño al lado de uno de los contenedores de basura y quiso buscar a su madre. Cuando vio a una mujer caminando en su automóvil con un niño con él, se dio cuenta de que era su hijo, pero lo giró y le pidió que dejara al niño árabe.  Para un hombre pobre y huyó, el hombre siguió buscándolo, pero no lo encontró, por lo que lo colocó en su automóvil, la mujer con un niño, y cuando Chaplin se aseguró de que estaba a salvo, apareció de nuevo, pero por su mala suerte, la mujer lo volvió a ver y lo castigó, y la policía le informó sobre él.",A1
English,Lower beginner,El vidoe esta en blanco y negro. El hombre es fumar y camino. Entonces el encuentro in bebe. El hombre de encontrar a su mama porque no papi.  Entonces el policia hablo el hombre. El hombre encuento nota sobre el baby. No se que nota porque nota francis. En general  video es interastante. El revive es ocho de diez porque calidad. No say negative.Yo como el viendo la pelicula porque es blanco y negro.,A1
English,Lower beginner,"Jennifer Lopez es Latina. Ella es muy bonita. Ella es intiligente. Ella es comica. Ella es interesante. Ella es muy talentoso. Le gusta cantar y bailar. Le gusta perros y gatos. Le gusta limonadia y pan. Le gusta mirar al telivisor. Le gusta ir al cine. Le gusta ir al parque. Le gusta caminar su perro. Le gusta nadar en su piscina. Le gusta que su madre sea al muerte. Le gusta violeta. Le gusta verde. Le gusta blanca. Le gusta negro. Le gusta azul. Le gusta cafe. Le gusta rosado. De nina, Jennifer Lopez gustaba saltar a la cuerda. Cuando era joven, ella gustaba caminar el perro en el parque. De nina, ella va a las clases de bailar para ser fantastico! Jennifer Lopez tiene un esposo, Marc Antony. Le gusta comida. De nina, Jennifer Lopez nadaba en el lago. Jennifer Lopez cantaba en su dormitorio. Le gustaba leer. Le gustaba hablar a su amigos. Ella tiene el pelo negro. Ella tiene treinta anos. Ella tiene un mano muy grande. No le gusta los gatos. No le gusta al pescar. No le gusta pescado. No le gusta la trompeta. No le gusta la leche. No le gusta la computadora. No le gusta los arboles. No le gusta el piano. Le gusta leer las revistas. Le gusta habla en espanol. Le gusta anajranjado. Le gusta amarillo. Le gusta gris. Le gusta George Bush. Le gusta Puff Daddy. Le gusta los Pussy Cat Dolls. Le gusta Brad Pitt. No le gusta Lindsay Lohan. No le gusta Julia Roberts. No le gusta Matt Damon. Jennifer Lopez gusta eschuchar a la musica latina, pop, rock, raegae ton, hip hop, emo, country, folk,etc. No le gusta la guitara. No le gusta otono. Le gusta primavera. Le gusta verano. No le gusta invierno. No es viaja. Le gusta chicos. Le gusta sus padres. Le gusta silencio. Le gusta politicos. Le gusta sus tios. Le gusta su familia. Le gusta bebir. Le gusta Pepsi. Le gusta Coca-cola. Le gusta agua. Le gusta Coors Light. Le gusta Budweiser. Le gusta las postres. Le gusta Sprite. Le gusta Mountain Dew. Le gusta Vanilla Coke. Le gusta Mellow Yello. Le gusta Dr. Pepper. Le gusta Mr. Pibb. Le hablaba por la telefono much. No le gusta los libros. No le gusta la escuela. Le gusta Brazil. Le gusta Argentina. Le gusta Mexico. Le gusta Uruguay. Le gusta Paraguay. Le gusta Panama. Le gusta Costa Rica. Le gusta Cuba. Le gusta la Republica Domnicana. Le gusta Colombia. Le gusta Chile. Le gusta Peru. Le gusta Espana. Le gusta los Estados Unidos de America. Le gusta HIlary Duff. Le gusta Los Jonas Brothers. Le gusta Daddy Yankee. Le gusta MTV. Le gusta los deportes. Le gusta balonceston. Le gusta futbol. Le gusta tenis. Le gusta beisbol. No le gusta futbol de americana. No le gusta jai-alai. Le gusta ESPN. Cuando era joven, ella jugaba con los munecas. Cuando tenia tres anos, ella gustaba jugar con los rompecabezas. De nina, ella jugaba futbol con sus amigos en la calle.",A1
Japanese,Lower beginner,"Musical pelicula. Como cookie. Levant en la casa. Leer al canto. Llamo alexander por su amiga. Quierro siento ocho. Haber espanol , japones, ingles y frances. Pero, poder al guitar. Conocer sus nomble. Ello es de argentina. Ello gusta fugar al football. Unpoco escribe pelicula. Ello llama genius. Hablar en un cafe",A1
