Unnamed: 0;Number;Word;Sentence Spelling;Sentence;PpW2;PpW3;PpW4;PpW5;PpKenlm;Mother tongue;Level
22404;88276;a;Jaafar no le gusta comer fuera de su casa tampoco vas a un café . cada domingo va con su mujer para ir compras de el semana .;Jaafar no le gusta comer fuera_de su casa tampoco vas a un cafe . cada dominco va con su mujer para ir compras de el semana .;10649.74113;27530.71336;43900.09619;51737.63514;2492.385205;Árabe;A2
2726;379582;comido;Las comidas son muy sabrosas y he comido carne de canguro , que a mi me encantó .;Las comidas son muy saborosas y he comido carne de canguru , que a mi me encantó .;10422.72014;19627.57604;25847.79721;26732.92704;3391.130566;Portugués;A2
65636;401990;dijo;El dijo ,;El dijo ,;1282.670216;1734.154034;1527.265729;1239.239392;11910.49035;Inglés;B1
245767;328884;yo;"yo quiero hago de os novelas rápidamente ;";"yo quiero hago de os novelas rapidemente ;";33583.46047;29690.50345;20681.09502;14089.00469;4136.109077;Francés;A1
12847;180786;la;Mis compañeros de la misma clase eran muy alegres y trabajaban mucho .;Mis compañeros de la misma clase eran muy alegres y trabajaban mucho .;4133.649014;8208.200004;12057.05106;13203.89444;753.4316505;Chino mandarín;A2
10855;170928;?;Te recuerdas ?;Te recuerdas ?;37639.80904;14956.17714;7186.26941;4127.121255;39089.88391;Portugués;B1
;409622;efectos;No es una película que tenga efectos especiales , porque refiere a una historia verídica .;No es una película que tenga efectos especiales , porque refiere a una história veridica .;3106.989961;6933.083636;11332.72262;13719.6164;10806.82548;Portugués;C1
232932;132503;el;Me llamo zahra_erroumati , en mi ultimo viajé el 23_de_enero_2011 por el vuelo iberia 5879;Me llamo zahra_erroumati , en mi ultimo viajé el 23_de_enero_2011 por el vuelo iberia 5879;47601.15595;69435.73828;70699.69446;59761.45938;13706.86373;Árabe;B1
3113;307053;y;Ya contacté mi antigua compañía para que vuelvan a suministrar me gas y electricidad .;Ya contacté mi antigua compañía para que vuelvan a sumnistrar me gás y electricidad .;26785.05635;36583.30079;38143.55274;33731.66569;5775.936751;Portugués;C1
212670;327443;y;Desde mi punto de vista es importante y necesario prohibir fumar en lugares públicos .;Desde mi punto de vista es importante y necesario prohibir fumar en lugares públicos .;4322.475294;8147.113411;11444.30003;13203.36477;1820.157409;Ruso;B2
15139;211360;mi;aunque el precio fuera mi vida .;anque el precio fuera mi vida .;6786.8382;8710.384302;8000.25023;6387.167186;1848.805571;Chino mandarín;C1
112136;629174;vida;Tenemos también et mismo miro sobre la vida .;Tenimos también et mismo miro sobre la vida .;9390.479311;10584.84459;10301.49302;8845.999686;3101.165095;Francés;A2
